Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,TCP,UDP,ICMP,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,Label_Encoded
20.0,6,64.0,42001.84257961145,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.381801605224609e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
19.8,6,63.36,15190.699358951142,0.0,0.0,0.0,0.99,0.99,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,6.582975387573243e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
19.8,6,63.36,65917.08313688512,0.0,0.0,0.0,0.99,0.99,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,1.5180110931396485e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
20.0,6,65.91,11477.093993706389,0.0,0.0,0.01,0.99,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,8.713960647583008e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
20.0,6,64.0,28801.098674723613,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.4739971160888674e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
20.08,6,65.91,6856.350737241311,0.0,0.01,0.01,0.97,0.98,98.0,1.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.99,0.01,0.0,6299.0,60.0,345.0,62.99,28.52023736566617,62.99,0.0001458597183227,100.0,813.4039393939405,DDOS-PSHACK_FLOOD,8
20.0,6,64.0,51256.31186606379,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,1.950979232788086e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
20.0,6,64.0,22584.018953262977,0.0,0.0,0.27,0.73,0.73,73.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,4.428863525390625e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
20.12,6,64.0,29289.832402234635,0.0,0.0,0.05,0.94,0.95,95.0,0.0,0.0,5.0,0.99,0.01,0.0,0.0,0.0,1.0,0.0,0.0,6006.0,60.0,66.0,60.06,0.5999999999999992,60.06,3.509998321533203e-05,100.0,0.359999999999999,DDOS-PSHACK_FLOOD,8
20.0,6,64.0,26781.84024008684,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.7338733673095706e-05,100.0,0.0,DDOS-PSHACK_FLOOD,8
